,date,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,rain,weather_code,cloud_cover,wind_speed_10m,wind_direction_10m,sunshine_duration
173,2019-01-22 08:00:00+00:00,26.107,87.97134,30.65496,1.7,1.7,53.0,100.0,10.464797,296.56497,0.0
174,2019-01-22 11:00:00+00:00,25.157,91.68416,30.289131,1.6999999,1.6999999,53.0,51.0,5.4119864,273.814,0.0
175,2019-01-22 14:00:00+00:00,24.307001,94.44636,29.584259,1.5,1.5,53.0,48.300003,2.968636,194.03627,0.0
176,2019-01-22 17:00:00+00:00,23.557001,96.149025,28.249096,1.2,1.2,51.0,71.4,5.1544156,192.09474,0.0
177,2019-01-22 20:00:00+00:00,22.557001,91.8086,25.908424,0.6,0.6,51.0,41.700005,7.628263,199.29015,0.0
178,2019-01-22 23:00:00+00:00,22.757,91.259315,26.394232,0.0,0.0,2.0,56.100002,6.0347,197.35411,0.0
179,2019-01-23 02:00:00+00:00,26.557001,80.89543,31.2681,0.7,0.7,51.0,100.0,5.3999996,216.86998,8986.61
180,2019-01-23 05:00:00+00:00,28.107,72.76141,31.563114,0.2,0.2,51.0,100.0,12.984975,313.87677,5044.3677
181,2019-01-23 08:00:00+00:00,28.007,76.5819,32.20208,1.3000001,1.3000001,51.0,74.399994,10.97262,318.991,5567.942
182,2019-01-23 11:00:00+00:00,25.907,91.180954,31.756748,2.7,2.7,53.0,52.200005,3.2599385,263.6599,0.0
183,2019-01-23 14:00:00+00:00,25.757,89.54394,31.03621,0.1,0.1,51.0,57.0,5.2416787,344.05453,0.0
184,2019-01-23 17:00:00+00:00,24.757,93.33395,29.321213,0.3,0.3,51.0,41.100002,8.891343,328.24057,0.0
185,2019-01-23 20:00:00+00:00,24.607,92.206856,29.253815,0.1,0.1,51.0,50.7,6.87779,263.9911,0.0
186,2019-01-23 23:00:00+00:00,23.857,96.1575,28.531479,0.0,0.0,2.0,50.7,6.489992,199.44012,0.0
187,2019-01-24 02:00:00+00:00,27.257,84.71444,32.746395,0.0,0.0,2.0,62.1,6.151683,249.44386,8903.751
188,2019-01-24 05:00:00+00:00,29.557001,74.33382,34.334076,1.2,1.2,51.0,62.1,12.096214,306.52896,10800.0
189,2019-01-24 08:00:00+00:00,29.107,74.707275,33.701492,1.1,1.1,51.0,59.100002,12.229406,312.614,10800.0
190,2019-01-24 11:00:00+00:00,26.207,87.97976,31.122005,1.2,1.2,51.0,100.0,8.373386,244.5367,10529.957
191,2019-01-24 14:00:00+00:00,24.907,93.06067,29.967667,2.4,2.4,53.0,64.200005,5.904439,307.56866,0.0
192,2019-01-24 17:00:00+00:00,23.907,95.57962,28.233727,1.1,1.1,51.0,72.6,8.669949,274.76355,0.0
193,2019-01-24 20:00:00+00:00,23.357,96.72809,27.634981,2.1,2.1,53.0,81.0,7.5942073,275.44025,0.0
194,2019-01-24 23:00:00+00:00,23.357,94.983215,27.2902,0.6,0.6,51.0,74.700005,8.766573,250.82089,0.0
195,2019-01-25 02:00:00+00:00,24.407,93.317055,28.362389,2.6,2.6,53.0,99.9,11.620809,253.81071,0.0
196,2019-01-25 05:00:00+00:00,25.507,90.33742,30.067894,2.3,2.3,53.0,100.0,9.746631,265.76367,0.0
197,2019-01-25 08:00:00+00:00,26.307001,85.126175,31.115643,1.3,1.3,51.0,55.2,7.2,270.0,0.0
198,2019-01-25 11:00:00+00:00,26.157,90.652725,32.167133,0.7,0.7,51.0,30.000002,2.8116899,309.8055,0.0
199,2019-01-25 14:00:00+00:00,25.007,94.19131,30.314098,0.2,0.2,51.0,33.0,5.4833565,293.1986,0.0
200,2019-01-25 17:00:00+00:00,24.257,95.8795,29.298878,0.0,0.0,1.0,20.1,5.4119864,266.186,0.0
201,2019-01-25 20:00:00+00:00,23.857,95.86737,28.653687,0.0,0.0,1.0,44.7,5.4477882,262.40546,0.0
202,2019-01-25 23:00:00+00:00,24.207,95.87798,29.409264,0.3,0.3,51.0,100.0,4.1046314,217.87505,0.0
203,2019-01-26 02:00:00+00:00,27.557001,86.01952,33.086246,0.4,0.4,51.0,67.2,8.311245,265.03033,9954.867
204,2019-01-26 05:00:00+00:00,29.657,75.01968,34.769512,0.9,0.9,51.0,83.700005,14.003028,313.95847,10800.0
205,2019-01-26 08:00:00+00:00,29.557001,71.922195,34.598454,0.8000001,0.8000001,51.0,53.7,14.003028,316.04153,10800.0
206,2019-01-26 11:00:00+00:00,27.057001,84.18706,32.11856,0.6,0.6,51.0,39.600002,7.7879906,326.3099,10545.833
207,2019-01-26 14:00:00+00:00,26.457,89.86367,32.142754,0.0,0.0,1.0,40.2,5.6920996,288.43503,0.0
208,2019-01-26 17:00:00+00:00,24.507,94.17018,29.787731,3.6999998,3.6999998,55.0,73.5,3.563818,224.9999,0.0
